total lines: 169
1) line size: 6
  6) x: 116  y: 177
  7) x: 118  y: 176
  8) x: 120  y: 174
  9) x: 120  y: 173
  10) x: 119  y: 174
  11) x: 118  y: 175
  12) x: 116  y: 176
  13) x: 114  y: 177
  14) x: 112  y: 178
  15) x: 110  y: 179
  16) x: 109  y: 180
  17) x: 108  y: 181
58) line size: 4
  1) x: 158  y: 52
  2) x: 160  y: 53
  3) x: 162  y: 53
  4) x: 160  y: 52
59) line size: 36
  1) x: 53  y: 156
  2) x: 55  y: 157
  3) x: 57  y: 159
  4) x: 59  y: 160
  5) x: 61  y: 161
  6) x: 63  y: 162
  7) x: 65  y: 163
  8) x: 67  y: 164
  9) x: 69  y: 165
  10) x: 71  y: 167
  11) x: 72  y: 169
  12) x: 72  y: 171
  13) x: 72  y: 173
  14) x: 72  y: 175
  15) x: 72  y: 176
  16) x: 72  y: 174
  17) x: 72  y: 172
  18) x: 72  y: 170
  19) x: 72  y: 168
  20) x: 72  y: 167
  21) x: 71  y: 166
  22) x: 70  y: 166
  23) x: 68  y: 165
  24) x: 66  y: 164
  25) x: 66  y: 163
  26) x: 65  y: 162
  27) x: 64  y: 162
  28) x: 62  y: 161
  29) x: 60  y: 161
  30) x: 58  y: 160
  31) x: 58  y: 159
  32) x: 57  y: 158
  33) x: 56  y: 158
  34) x: 56  y: 157
  35) x: 55  y: 156
  36) x: 54  y: 156
60) line size: 6
  1) x: 149  y: 45
  2) x: 149  y: 47
  3) x: 149  y: 49
  4) x: 149  y: 51
  5) x: 149  y: 53
  6) x: 149  y: 55
61) line size: 7
  1) x: 175  y: 53
  2) x: 177  y: 53
  3) x: 179  y: 53
  4) x: 180  y: 53
  5) x: 180  y: 52
  6) x: 178  y: 53
  7) x: 176  y: 53
62) line size: 79
  1) x: 128  y: 49
  2) x: 129  y: 48
  3) x: 129  y: 47
  4) x: 129  y: 46
  5) x: 129  y: 45
  6) x: 129  y: 44
  7) x: 129  y: 43
  8) x: 130  y: 42
  9) x: 131  y: 41
  10) x: 133  y: 41
  11) x: 135  y: 41
  12) x: 137  y: 41
  13) x: 139  y: 41
  14) x: 141  y: 41
  15) x: 143  y: 41
  16) x: 145  y: 41
  17) x: 146  y: 42
  18) x: 145  y: 44
  19) x: 145  y: 46
  20) x: 145  y: 48
  21) x: 145  y: 50
  22) x: 145  y: 52
  23) x: 145  y: 54
  24) x: 145  y: 56
  25) x: 145  y: 57
  26) x: 145  y: 58
  27) x: 147  y: 59
  28) x: 157  y: 59
  29) x: 159  y: 59
  30) x: 161  y: 59
  31) x: 163  y: 58
  32) x: 165  y: 59
  33) x: 175  y: 59
  34) x: 177  y: 59
  35) x: 179  y: 59
  36) x: 180  y: 59
  37) x: 178  y: 59
  38) x: 176  y: 59
  39) x: 174  y: 59
  40) x: 173  y: 59
  41) x: 172  y: 59
  42) x: 171  y: 59
  43) x: 170  y: 59
  44) x: 169  y: 59
  45) x: 168  y: 59
  46) x: 168  y: 58
